# frame +z -z 
0 0 0 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 0 
11 0 0 
12 0 0 
13 0 0 
14 0 0 
15 0 0 
16 0 0 
17 0 0 
18 0 0 
19 0 0 
20 0 0 
21 1 0 
22 1 0 
23 1 0 
24 1 0 
25 1 0 
26 1 0 
27 1 0 
28 1 0 
29 2 0 
30 2 0 
31 2 0 
32 2 0 
33 3 0 
34 4 0 
35 4 0 
36 4 0 
37 4 0 
38 4 0 
39 5 0 
40 5 0 
41 6 0 
42 6 0 
43 6 0 
44 7 0 
45 7 0 
46 7 0 
47 7 0 
48 7 0 
49 7 0 
50 7 0 
51 7 0 
52 8 0 
53 8 0 
54 8 0 
55 8 0 
56 8 0 
57 9 0 
58 9 0 
59 9 0 
60 9 0 
61 9 0 
62 9 0 
63 9 0 
64 9 0 
65 9 0 
66 10 0 
67 11 0 
68 11 0 
69 11 0 
70 11 0 
71 11 0 
72 11 0 
73 11 0 
74 11 0 
75 11 0 
76 11 0 
77 11 0 
78 11 0 
79 11 0 
80 11 0 
81 11 0 
82 11 0 
83 11 0 
84 11 0 
85 11 0 
86 12 0 
87 12 0 
88 12 0 
89 13 0 
90 14 0 
91 14 0 
92 14 0 
93 14 0 
94 14 0 
95 14 0 
96 14 0 
97 14 0 
98 14 0 
99 14 0 
100 14 0 
101 14 0 
102 14 0 
103 15 0 
104 15 0 
105 15 0 
106 16 0 
107 16 0 
108 16 0 
109 16 0 
110 16 0 
111 16 0 
112 16 0 
113 16 0 
114 17 0 
115 17 0 
116 17 0 
117 17 0 
118 17 0 
119 17 0 
120 17 0 
121 17 0 
122 18 0 
123 19 0 
124 19 0 
125 19 0 
126 19 0 
127 19 0 
128 19 0 
129 19 0 
130 19 0 
131 20 0 
132 20 0 
133 20 0 
134 20 0 
135 20 0 
136 20 0 
137 21 0 
138 22 0 
139 22 0 
140 22 0 
141 22 0 
142 22 0 
143 22 0 
144 23 0 
145 23 0 
146 23 0 
147 23 0 
148 24 0 
149 24 0 
150 24 0 
151 24 0 
152 24 0 
153 24 0 
154 25 0 
155 25 0 
156 26 0 
157 26 0 
158 26 0 
159 26 0 
160 26 0 
161 26 0 
162 26 0 
163 26 0 
164 27 0 
165 27 0 
166 27 0 
167 27 0 
168 27 0 
169 27 0 
170 27 0 
171 28 0 
172 28 0 
173 29 0 
174 29 0 
175 30 0 
176 30 0 
177 31 0 
178 31 0 
179 31 0 
180 31 0 
181 32 0 
182 32 0 
183 32 0 
184 32 0 
185 32 0 
186 32 0 
187 32 0 
188 32 0 
189 32 0 
190 32 0 
191 32 0 
192 33 0 
193 33 0 
194 33 0 
195 33 0 
196 33 0 
197 33 0 
198 33 0 
199 33 0 
200 33 0 
201 33 0 
202 33 0 
203 33 0 
204 33 0 
205 33 0 
206 33 0 
207 33 0 
208 33 0 
209 33 0 
210 33 0 
211 35 0 
212 35 0 
213 35 0 
214 35 0 
215 36 0 
216 36 0 
217 36 0 
218 36 0 
219 37 0 
220 37 0 
221 37 0 
222 37 0 
223 37 0 
224 37 0 
225 37 0 
226 37 0 
227 37 0 
228 39 0 
229 39 0 
230 39 0 
231 39 0 
232 39 0 
233 39 0 
234 39 0 
235 39 0 
236 39 0 
237 39 0 
238 39 0 
239 39 0 
240 39 0 
241 39 0 
242 39 0 
243 39 0 
244 39 0 
245 39 0 
246 40 0 
247 40 0 
248 40 0 
249 41 0 
250 41 0 
251 41 0 
252 41 0 
253 42 0 
254 42 0 
255 42 0 
256 42 0 
257 42 0 
258 43 0 
259 43 0 
260 43 0 
261 43 0 
262 43 0 
263 43 0 
264 43 0 
265 43 0 
266 44 0 
267 44 0 
268 45 0 
269 45 0 
270 45 0 
271 46 0 
272 46 0 
273 46 0 
274 46 0 
275 46 0 
276 46 0 
277 47 0 
278 47 0 
279 47 0 
280 47 0 
281 47 0 
282 47 0 
283 47 0 
284 47 0 
285 48 0 
286 48 0 
287 48 0 
288 48 0 
289 48 0 
290 49 0 
291 50 0 
292 50 0 
293 50 0 
294 50 0 
295 50 0 
296 50 0 
297 51 0 
298 51 0 
299 51 0 
300 51 0 
301 51 0 
302 51 0 
303 53 0 
304 53 0 
305 53 0 
306 53 0 
307 53 0 
308 53 0 
309 53 0 
310 53 0 
311 53 0 
312 54 0 
313 54 0 
314 54 0 
315 54 0 
316 54 0 
317 54 0 
318 54 0 
319 54 0 
320 54 0 
321 55 0 
322 55 0 
323 55 0 
324 55 0 
325 55 0 
326 56 0 
327 56 0 
328 56 0 
329 56 0 
330 56 0 
331 56 0 
332 56 0 
333 56 0 
334 56 0 
335 56 0 
336 56 0 
337 56 0 
338 56 0 
339 56 0 
340 56 0 
341 56 0 
342 56 0 
343 56 0 
344 56 0 
345 56 0 
346 57 0 
347 57 0 
348 57 0 
349 57 0 
350 58 0 
351 58 0 
352 58 0 
353 58 0 
354 58 0 
355 59 0 
356 59 0 
357 59 0 
358 59 0 
359 61 0 
360 61 0 
361 61 0 
362 61 0 
363 61 0 
364 61 0 
365 61 0 
366 61 0 
367 61 0 
368 61 0 
369 61 0 
370 61 0 
371 61 0 
372 61 0 
373 61 0 
374 61 0 
375 61 0 
376 61 0 
377 61 0 
378 62 0 
379 62 0 
380 62 0 
381 62 0 
382 62 0 
383 63 0 
384 63 0 
385 63 0 
386 63 0 
387 63 0 
388 63 0 
389 63 0 
390 64 0 
391 64 0 
392 64 0 
393 64 0 
394 65 0 
395 65 0 
396 66 0 
397 66 0 
398 66 0 
399 66 0 
400 66 0 
401 66 0 
402 68 0 
403 68 0 
404 68 0 
405 69 0 
406 69 0 
407 69 0 
408 69 0 
409 69 0 
410 69 0 
411 70 0 
412 70 0 
413 70 0 
414 70 0 
415 70 0 
416 70 0 
417 71 0 
418 71 0 
419 72 0 
420 72 0 
421 72 0 
422 72 0 
423 73 0 
424 73 0 
425 73 0 
426 73 0 
427 73 0 
428 74 0 
429 74 0 
430 74 0 
431 74 0 
432 74 0 
433 75 0 
434 75 0 
435 76 0 
436 76 0 
437 76 0 
438 76 0 
439 76 0 
440 77 0 
441 77 0 
442 77 0 
443 77 0 
444 77 0 
445 77 0 
446 77 0 
447 77 0 
448 77 0 
449 77 0 
450 77 0 
451 77 0 
452 77 0 
453 77 0 
454 77 0 
455 77 0 
456 77 0 
457 77 0 
458 77 0 
459 77 0 
460 77 0 
461 77 0 
462 77 0 
463 77 0 
464 77 0 
465 77 0 
466 77 0 
467 77 0 
468 77 0 
469 77 0 
470 77 0 
471 78 0 
472 78 0 
473 78 0 
474 78 0 
475 78 0 
476 78 0 
477 78 0 
478 79 0 
479 79 0 
480 80 0 
481 81 0 
482 81 0 
483 82 0 
484 82 0 
485 82 0 
486 82 0 
487 82 0 
488 82 0 
489 82 0 
